,Gene,Similarity,Cluster annotation
0,GTSE1,0.9989,Mitotic Cell Proliferation
1,TOP2A,0.9937,Mitotic Cell Proliferation
2,BIRC5,0.9927,Mitotic Cell Proliferation
3,TPX2,0.9926,Mitotic Cell Proliferation
4,NUSAP1,0.9861,Mitotic Cell Proliferation
5,CENPF,0.9839,Mitotic Cell Proliferation
6,PTTG1,0.9805,Mitotic Cell Proliferation
7,HJURP,0.979,Mitotic Cell Proliferation
8,UBE2C,0.9763,Mitotic Cell Proliferation
9,RACGAP1,0.9762,Mitotic Cell Proliferation
10,NDC80,0.9755,Mitotic Cell Proliferation
11,CDCA3,0.9745,Mitotic Cell Proliferation
12,DLGAP5,0.9715,Mitotic Cell Proliferation
13,CDKN3,0.9712,Mitotic Cell Proliferation
14,NUF2,0.961,Mitotic Cell Proliferation
15,FBXO5,0.9584,Mitotic Cell Proliferation
16,CCNA2,0.9516,Mitotic Cell Proliferation
17,KIF23,0.9514,Mitotic Cell Proliferation
18,UBALD2,0.951,Mitotic Cell Proliferation
19,PRRT2,0.9502,Mitotic Cell Proliferation
20,ELN,0.9499,Mitotic Cell Proliferation
21,KIF2C,0.9474,Mitotic Cell Proliferation
22,CDC20,0.9463,Mitotic Cell Proliferation
23,SGO1,0.9447,Mitotic Cell Proliferation
24,CCDC18,0.9438,Mitotic Cell Proliferation
25,SPC25,0.9433,Mitotic Cell Proliferation
26,KIFC1,0.9432,Mitotic Cell Proliferation
27,HMMR,0.9423,Mitotic Cell Proliferation
28,TTK,0.9418,Mitotic Cell Proliferation
29,PIMREG,0.9394,Mitotic Cell Proliferation
30,CKS2,0.937,Mitotic Cell Proliferation
31,IER5,0.9347,Mitotic Cell Proliferation
32,MIR503HG,0.9266,Mitotic Cell Proliferation
33,JUND,0.9246,Mitotic Cell Proliferation
34,AURKB,0.9234,Mitotic Cell Proliferation
35,MEST,0.921,Mitotic Cell Proliferation
36,CKAP2,0.918,Mitotic Cell Proliferation
37,PSRC1,0.9179,Mitotic Cell Proliferation
38,TMEM185A,0.9156,Mitotic Cell Proliferation
39,CDCA2,0.9149,Mitotic Cell Proliferation
40,CDK1,0.9113,Mitotic Cell Proliferation
41,FOXM1,0.9074,Mitotic Cell Proliferation
42,PRC1,0.9016,Mitotic Cell Proliferation
43,ASPM,0.8945,Mitotic Cell Proliferation
44,HIST1H4C,0.8937,Mitotic Cell Proliferation
45,HIST2H2AC,0.8934,Mitotic Cell Proliferation
46,CCNB1,0.891,Mitotic Cell Proliferation
47,NET1,0.889,Mitotic Cell Proliferation
48,LSM5,0.8887,Mitotic Cell Proliferation
49,PBX3,0.888,Mitotic Cell Proliferation
50,FAM122B,0.8879,Mitotic Cell Proliferation
51,PAX6,0.8878,Mitotic Cell Proliferation
52,FANCD2,0.8878,Mitotic Cell Proliferation
53,LIG1,0.8873,Mitotic Cell Proliferation
54,HIST1H1C,0.8872,Mitotic Cell Proliferation
55,REXO5,0.887,Mitotic Cell Proliferation
56,UBE2S,0.8869,Mitotic Cell Proliferation
57,CDKN2C,0.8868,Mitotic Cell Proliferation
58,HIST1H2AG,0.8866,Mitotic Cell Proliferation
59,TUBA1B,0.8865,Mitotic Cell Proliferation
60,FIGNL1,0.8862,Mitotic Cell Proliferation
61,CD9,0.8857,Mitotic Cell Proliferation
62,DDB2,0.8856,Mitotic Cell Proliferation
63,NCAPG2,0.8856,Mitotic Cell Proliferation
64,CKS1B,0.8852,Mitotic Cell Proliferation
65,RTKN2,0.8847,Mitotic Cell Proliferation
66,SPC24,0.8844,Mitotic Cell Proliferation
67,HIST1H2BH,0.8844,Mitotic Cell Proliferation
68,NCAPH,0.8842,Mitotic Cell Proliferation
69,HMGB2,0.8834,Mitotic Cell Proliferation
70,HIST1H1A,0.8833,Mitotic Cell Proliferation
71,CHEK2,0.883,Mitotic Cell Proliferation
72,AZI2,0.8803,Mitotic Cell Proliferation
73,TROAP,0.8773,Mitotic Cell Proliferation
74,VAMP1,0.8764,Mitotic Cell Proliferation
75,COX7B,0.8738,Mitotic Cell Proliferation
76,AL031777.3,0.8706,Mitotic Cell Proliferation
77,TRIM59,0.8698,Mitotic Cell Proliferation
78,LRRC45,0.8693,Mitotic Cell Proliferation
79,PIDD1,0.8683,Mitotic Cell Proliferation
80,PITHD1,0.8683,Mitotic Cell Proliferation
81,CCSAP,0.8662,Mitotic Cell Proliferation
82,PTP4A1,0.8602,Mitotic Cell Proliferation
83,SCMH1,0.8576,Mitotic Cell Proliferation
84,PFDN1,0.856,Mitotic Cell Proliferation
85,SGO2,0.8539,Mitotic Cell Proliferation
86,H2AFX,0.8525,Mitotic Cell Proliferation
87,ATL2,0.8493,Mitotic Cell Proliferation
88,LIN9,0.8467,Mitotic Cell Proliferation
89,CDK5RAP3,0.8435,Mitotic Cell Proliferation
90,DCP2,0.84,Mitotic Cell Proliferation
91,NCAPD2,0.8379,Mitotic Cell Proliferation
92,ANP32E,0.8344,Mitotic Cell Proliferation
93,SGCE,0.8341,Mitotic Cell Proliferation
94,NEK2,0.8335,Mitotic Cell Proliferation
95,ZNF230,0.8315,Mitotic Cell Proliferation
96,RNF219,0.8277,Mitotic Cell Proliferation
97,CDCA5,0.8272,Mitotic Cell Proliferation
98,LMO4,0.8255,Mitotic Cell Proliferation
99,YPEL1,0.8174,Mitotic Cell Proliferation
